question,page,short answer,long answer,ref_url,code_sample_url,picture_url
Co to AZ?,,,Availability zone - to dyskretne datacenter.,,,
Jakie mamy 2 rodzaje serwisów?,,Globalne i lokalne.,,,,
Co mówi Regional Table?,,Jakie serwisy są dostępne w regionie.,,,,
Co to IAM?,,Identity and Access Management,"Serwis AWS, całe security tutaj jest. Userzy, Role itd",,,
Jeden IAM User na osobe,,,,,,
Jeden IAM Rola na aplikację,,,,,,
Co to AMI?,,Amazon Machine Image,,,,
Co to ENI?,,Elastic Network Interfaces w EC2,"Interfejs sieciowy, mozna go przepisywac innym maszynom łatwo",,,
Co to Cross Zone Load Balancing?,,,Że będzie rzucać klienta między AZ. Jak wyłączone to tylko w jednej zonie będzie działał.,,,
Co to Connection Draining?,,,"Czas, podczas którego dokańczamy ""in-flight requesty"", gdy kontener jest unhealthy albo sie wylacza. Podczas tego stanu kontenera ""draining"" requesty są przekierowywane do innych kontenerow.",https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/learn/lecture/19733714#notes,,
Jak sie nazywa Connection Draining w CLB load balancerze?,,Connection Draining xd,,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/learn/lecture/19733714#notes,,
Jak sie nazywa Connection Draining w ALB i NLB load balancerze?,,Deregistration Delay,,,,
Co to ASG?,,Auto Scaling Group,"Są darmowe, mogą tworzyć instancje jak sie zrobią unhealthy (automatycznie zterminuje je i stworzy nowa instancje).",,,
Kiedy załącza się connection draining?,,,Jak scale in jest ASG kasuje nam instancję.,,,
Jakie są 3 rodzaje Auto scaling policies?,,"Target Tracking Scaling, Simple Step Scaling, Scheduled Actions",,,,
O co chodzi w Target Tracking Scaling?,,,,,,
Co to SNI?,,Server Name Indicator,Serwer z certyfikatami SSL/TLS.,,,
Jaki mają scope EBS Volume?,,"AZ, czyli datacenter",,,,
Jaka jest roznica miedzy EBC a Instance Store?,,,"Instance Store to cała maszyna na raku, szybsza, EBC to wirtualny dysk, musza przez siec dane leciec, wolniejszy przez to.",https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/learn/lecture/19733778#notes,,
Co to EFS?,,Elastic File System,Dysk z zasięgiem across AZ.,,,blm.png
Czy w EFS instancje EC2 sharuja dane z niego?,,Tak. Wszystkie mają dostęp do tego samego zasobu.,,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/learn/lecture/19733794#notes,,
Co to AWS RDS,,Relational Database Service,serwis do robienia bazy danych,,,
Co to AWS KMS?,,Key Manager Service,,,,timestamps69.png
