question,page,short answer,long answer,ref_url,code_sample_url,picture_url
Can inner class have static method?,,"No, it can't have it. It must be also static, then it can have it.",,,InnerClass.java,
What is lambda?,389,Anonymous method that is unnamed or anonymous class idk,,,,
Czy Runnable to interfejs funkcyjny?,390,Tak. Ma metode run().,,,,
Czym jest interfejs funkcyjny?,390,To interface z JEDNĄ METODĄ ABSTRAKCYJNĄ.,,,,
O co chodzi z variable capture w lambdach?,403,,"Jak użyjemy zmiennej lokalnej w lambcie z klasy obejmujacej lambde, to nie mozemy jej zmoenic potem jak lambda sie skonczy, bo sie nie skompiluje kod.",,VariableCapture.java,
Java reflection opisana,1004,,,,,
Co to RMI?,1008,Remote Method Invocation,Można za pomocą tego API wywoływać komendy klas na innej maszynie.,,,
Czy mozna uzywac referencji na abstract klase w kodzie?,,TAK :),,https://www.tutorialspoint.com/can-we-create-an-object-of-an-abstract-class-in-java,AbstractIncestor.java,
Jak zaimplementowałem endpoint Challenge?,,,,,Reflect.java,
,,,,,,
Jakie znaki trzeba eskejpowac?,,<([{\^-=$!|]})?*+.>,,,,
O czym trzeba pamietac tworzac @Beany w Springu?,,Muszą być thread safe.,"""Most servlets start a separate thread for each incoming request and Spring isnt an exception to that. You need to make sure that the shared beans are thread safe. Otherwise Spring takes care of the rest.""",https://stackoverflow.com/questions/30171027/is-spring-boot-mvc-controller-multithreaded,,
O czym trzeba pamietac tworzac asynchroniczne metody wewnatrz controllera? Zwiazane z Principalem,,będzie null jak nic nie zrobimy,"Since the SecurityContext is thread-bound, if you want to do any background processing that calls secure methods (for example, with @Async), you need to ensure that the context is propagated.",https://www.baeldung.com/spring-security-async-principal-propagation,https://spring.io/guides/topicals/spring-security-architecture/,
Po co jest Authentication?,,,"Trzymane sa tu prawa uzytkownika, jego nazwa",,,
How to Processing Secure Methods Asynchronously?,,,https://www.baeldung.com/spring-async,https://spring.io/guides/topicals/spring-security-architecture/,,
Gdzie mozna dac adnotacje?,,"Dla metody, klasy, moze gdzies jeszcze.",,,,
Po czym dziedzicza wszystkie adnotacje?,,@Annotation,,,,
Czy Annotation nadpisuje toString() i hashcode()?,,Tak,,https://docs.oracle.com/javase/8/docs/api/java/lang/annotation/Annotation.html,,
Jak zadeklarowac default value w definicji adnotacji?,302,,int val() default 9000;,,,
Jaka jes zaleta Single-Member annotations?,,Mozna uzyc shorthanda jak sie ich uzywa,ale jedyna wartosc musi sie nazywac int value(); => @MyAnno(123),,,
Kiedy mozemy jeszcze uzyc single-member annotations shortcuta?,,"Jak jest kilka pol, ale maja default value wpisane.",,,,
Jakie sa restrykcje dla adnotacji?,314,,,,,
Kiedy dwie adnotacje mozemy nazwac repeating?,,,Jak maja taka sama nazwe @Author ->,https://docs.oracle.com/javase/tutorial/java/annotations/basics.html,,
Czy jest wielokrotne dziedziczenie dla interfejsu?,,tak,"RegisterableDataUrlMapper extends DataUrlMapper, Extension {}",,,
