question,page,short answer,long answer,ref_url,code_sample_url,picture_url
,,,Robimy jeden plik html jak robimy react app. Tylko index.html.,,,
Gdzie jest spawnowana react app?,,"<div> id=""root""",,,,
Jak stworzyc komponent w reakcie?,,,,,createComponent.js,
Jaka metoda z obiektu React jest uzywana do tworzenia obiekow DOM html z jsx'ow?,,React.createElement,,,,
Jakie argumenty przyjmuje React.createElement?,,"komponen jaki chcemy wyrenderowac, obiekt z opcjami (mozemy dodac klase CSS tutaj), tekst wewnatrz tworzonego elementu",,,,
Co jesli chcemy zrobic nestet component w componencie?,,W trzecim parametrze uzywamy React.createElement,,,,
Czego nie mozna uzywac wewnatrz JSX'a?,,"Slow kluczowych JS, np. className zamiast class, onClick zamiast onclick",,,,
Ile komponentow zwracamy w funkcji render() ?,,Tylko jeden,,,,
Jak uzyc javascripta w JSX?,,Musimy go opakowac w {   }.,,,,
Jak tworzyc komponent na drugi sposob?,,rozszerzac klase Component,,,Woman.js,
Jak używać propsow?,,,,,Woman.js,
Jak uzyc props.children?,,,,,Person.js,
O co chodzi w React hooks?,,"Dodaja ""state"" do komponentow funkcyjnych.",,,,
"Czy ""state"" property jest w komponentach funkcyjnych?",,Nie. Tylko w tych klasowych co rozszerzaja Component.,,,,
"Co zrobi React jak jakis element ze ""state"" obiektu ulegnie zmianie?",,Zrerenderuje caly DOM.,,,,
Jak definiowac metody w klasie?,,switchNameHandler,,,Person.js,
To Which Events Can You Listen?,,,,https://reactjs.org/docs/events.html#supported-events,,
Co robi setState()?,,patrzy co sie zmienia i podmienia tylko to,,,,
Co przyjmuje setState w argumencie i skad mamy do tej metody dostep?,,"Obiekt ze zmianami, jest w Component.class",,,,
"Co sie stanie jak cos zmieni sie w ""state"" property?",,React przerenderuje DOM.,,,,
"Jak manipulowac ""state"" property w komponentach funkcyjnych?",,Za pomoca React Hooks,,,,
"Jaka jest roznica zmieniania stanu przez setState w hookach i przez ""state"" z komponentu klasowego?",,"W komponencie zmiana się merguje z tym co było, a w hookach się nadpisuje cały obiekt.",,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556164#overview,,
Co to stateful component?,,Komponent z jakas logika w srodku i stanem.,,,,
Dlaczego lepiej stateless componenty tworzyc?,,"Bo latwiej ogarnac gdzie skad dane sie wziely, jakie jest dataflow.",,,,
Jak mozna zmieniac stan obiektow poprzez inny obiekt? ,,,Mozna przekazac referencje na funkcje lub metoda jak jest komponent klasowy i uzyc tej funkcji w komponencie dziecka. Mozna dzieki temu zmieniac stan parent komponenta.,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8090888#overview,,
Jak zmienic cos dynamicznie w parencie przez childa?,,,"Przekazujemy referencje na metoda, ktora zmienia stan przyjmujac event za argument. Funkcja ta jak zostanie uzyta, dostarczy parametr event i zmieni stan na taki jaki chcemy.",https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8090892#overview,,
Dlaczego pliki css sie nie zaladowaly z defaultu jak oznaczylismy div jako klase?,,Bo tak dziala react.,,,,
Jak renderowac warunkowo?,,,we frontendzie songmate,,App.js,
"Co oznacza: Warning: ""Each child in a list should have a unique ""key"" prop"" ?",,Brak klucza przy renderowanej liscie.,"Trzeba dodac klucz. React korzysta z key'a, zeby efektywnie renderowac listy. Bez klucza React renderuje cala liste jak sie cos w niej zmieni, bo dziala tak, ze porownuje po zmianie stary DOM z nowym DOMem. I jak cos sie zmienilo to reaguje.",,,
Dlaczego index w liscie jest zlym kluczem?,,Bo jak zmieni sie lista to zmieni sie index.,,,,
"Dlaczego powinno sie robic kopie obiektu/tablicy, ktory chcemy zmienic i pozniej uzyc tego do zmiany?",,Żeby DOM nie renderowal obiektu 1000 razy.,,,,
Czy mozna uzyc spread operator na obiekcie tak jak na tablicy?,,Tak. Do kopiowania obiektow jest to przydatne.,,,,
Jakie dwa sposoby istnieją na stworzenie elementu przez Route?,,render() i component={},,,,
Dlaczego trzeba zaimportowac Reacta w pliku z komponentem funkcyjnym?,,Bo chcemy móć używać jsx'ów.,,,,
Co to lifecycle hooks?,,np componentDidMount(),,,,
Jaką mają zaletę klasowe komponenty nad funkcyjnymi?,,Można używać w nich lifecycle hooków,,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556260#overview,,
Jak dostać się do propsów w komponencie funkcyjnym?,,Props jest przekazywany w argumencie.,,,FunctionalComponent.js,
Co to znaczy causing side efects i dlaczego tego nie robimy w konstruktorze komponentu?,,,"To np. wysylanie ajaxow, jakies takie rzeczy dlugie. Nie robimy, bo przy renderowaniu dlugo to bedzie trwac, a react czesto tworzy nowe obiekty pewnie dlatego",https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556264#overview,,
"Czego nie uzywac w hooku componentDidMount(), a co mozna uzywac? No chyba ze co?",,"Nie uzywac setState po ajaxie, chyba ze w promisie to ok, mozna wysylac ajaxy",,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556264#overview,,
"Co uzywamy, a czego nie uzywamy w konstruktorze komponentu?",,,"Mozemy inicjalizowac state, ale nie uzywamy setState()?",https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556268#notes,,
Czy mozna mutate state directly?,,No nie. Użyć trzeba setState(). Bez tego nie zmieni sie.,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556154#notes,,,
Gdzie inicjalizuje sie state w komponencie?,,,"W konstruktorze mozna zainicjalizowac, ale pozniej trzeba setState() jak chcemy mutate zrobic",,,
Co robi useEffect()?,,Odpala callbacka przy kazdym renderze komponentu.,Dzięki temu mozemy korzystac ze wszystkich wazniejszych lifecycle hookow.,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556282#notes,UseEffect.js,
Co oznacza pusta tablica w argumencie useEffect()?,,,"Oznacza puste dependencje. Tam wrzucamy obiekty, ktore jak sie zmienia, to funkcja bedzie odpalona. Jak jest pusta tablica to tylko za pierwszym razem funkcja sie odpali, przy stworzeniu komponentu funkcyjnego.",,UseEffectDidMount.js,
Co sie stanie jak zwrocimy funckje w hooku useEffect()?,,Zostanie odpalona przy usuwaniu komponentu funkcyjnego z Virtual DOM.,,,,
Do czego mozna uzyc lifecycle hooka shouldComponentUpdate?,,,"Zeby okreslic, czy moze sie zrenderowac komponent przy probie. W argumencie przyjmuje nowy props i state",,,
Jak optymalizowac aplikacje dzieki shouldComponentUpdate?,,,,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/13556300#notes,,
